Code,2025-2028,2022-2024,2017-2021,2013-2016,2009-2012,2005-2008,2001-2004,1997-2000,1993-1996,1989-1992,1985-1988
BLM1x,,"6:46,34","6:46,93","6:46,93","6:49,63","6:49,63","6:49,63","6:57,29",,,
BLM2-,,"6:26,47","6:26,47","6:26,90","6:34,53","6:47,31","6:48,08",,,,
BLM2x,,"6:13,62","6:14,98","6:16,35","6:19,77","6:23,55","6:23,55","6:28,38","6:40,64",,
BLM4-,,"5:54,12","5:54,12","5:54,12","5:56,08","5:56,08","5:56,08","6:02,82","6:09,99",,
BLM4x,,"5:47,26","5:49,69","5:49,69","5:50,31","5:50,31","5:50,31","5:54,76","5:59,96",,
BLW1x,,"7:28,34","7:30,19","7:30,19","7:33,37","7:33,37","7:33,37","7:41,97","7:57,23",,
BLW2-,,"7:30,98","7:31,11",,,,,,,,
BLW2x,,"6:54,41","6:54,83","6:59,31","7:01,61","7:01,61","7:01,61","7:04,72","7:57,24",,
BLW4x,,"6:25,96","6:27,28","6:30,71","6:48,18",,,,,,
BM1x,,"6:42,97","6:27,70","6:27,70","6:27,70","6:27,70","6:27,70","6:27,70","6:27,70","6:55,65","7:03,96"
BM2-,,"6:20,06","6:20,43","6:20,43","6:27,84","6:29,86","6:29,86","6:35,53","6:44,86","6:47,08","6:50,85"
BM2+,,"7:11,05","7:11,05","7:11,05","7:11,05","7:11,05","7:11,05","7:11,05","7:11,05","7:11,05","7:11,05"
BM2x,,"6:07,57","6:08,43","6:08,43","6:13,07","6:13,07","6:13,07","6:20,73","6:20,73","6:20,73","6:27,13"
BM4-,,"5:44,38","5:48,12","5:48,12","5:53,19","5:57,88","5:57,88","6:03,12","6:05,56","6:05,56","6:10,46"
BM4+,,"6:03,01","6:03,01","6:03,01","6:03,19","6:06,94","6:06,94","6:10,51","6:13,12","6:19,33","6:20,01"
BM4x,,"5:39,62","5:39,62","5:39,62","5:45,73","5:45,73","5:45,73","5:48,29","5:48,29","5:48,29","5:56,73"
BM8+,,"5:22,48","5:24,31","5:24,31","5:26,96","5:26,96","5:26,96","5:33,39","5:38,08","5:38,08","5:45,14"
BW1x,,"7:27,23","7:27,23","7:27,23","7:27,81","7:33,12","7:33,12","7:39,09","7:53,32",,
BW2-,,"6:58,68","7:02,89","7:05,13","7:14,94","7:15,88","7:15,88","7:16,46","7:43,80",,
BW2x,,"6:47,03","6:51,58","6:51,58","6:52,57","6:52,57","6:52,57","7:01,08","7:08,49",,
BW4-,,"6:26,62","6:27,28","6:32,84","6:32,84","6:32,84","6:32,84","6:38,05","7:11,65",,
BW4+,,"7:02,22","7:02,60",,,,,,,,
BW4x,,"6:19,10","6:19,10","6:19,45","6:19,45","6:19,45","6:19,45","6:25,11","6:46,11",,
BW8+,,"6:00,13","6:03,23","6:03,23","6:06,68","6:13,81",,,,,
JM1x,,"6:45,45","6:57,50","6:57,50","6:57,50","6:57,50","6:59,75","7:00,05","7:01,72","7:18,58",
JM2-,,"6:27,91","6:32,51","6:34,23","6:34,23","6:37,27","6:37,27","6:37,27","6:37,27","7:07,69",
JM2+,,"7:31,95","7:31,95","7:31,95","7:31,95","7:31,95","7:31,95","7:31,95","7:31,95",,
JM2x,,"6:18,19","6:19,40","6:19,40","6:19,40","6:19,40","6:19,40","6:20,90","6:20,90","6:44,81",
JM4-,,"5:47,73","5:58,85","6:00,86","6:00,86","6:03,40","6:05,08","6:05,08","6:05,08","6:27,00",
